0,名称,年份,国家,类型,导演,评价人数,评分
112,恐怖直播,2013,韩国,剧情 犯罪 悬疑, 金秉祐 Byeong-woo Kim,260452,8.7
113,红辣椒,2006,日本,动画 悬疑 科幻 惊悚, 今敏 Satoshi Kon,156444,8.9
114,小森林 夏秋篇,2014,日本,剧情, 森淳一 Junichi Mori,159390,8.9
115,喜剧之王,1999,香港,喜剧 剧情 爱情, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,367023,8.6
116,菊次郎的夏天,1999,日本,剧情 喜剧, 北野武 Takeshi Kitano,212243,8.7
117,驯龙高手,2010,美国,喜剧 动画 奇幻 冒险, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,324380,8.7
118,幸福终点站,2004,美国,喜剧 剧情 爱情, 史蒂文·斯皮尔伯格 Steven Spielberg,251333,8.7
119,萤火虫之墓,1988,日本,动画 剧情 战争, 高畑勋 Isao Takahata,226988,8.7
120,借东西的小人阿莉埃蒂,2010,日本,动画 奇幻 冒险, 米林宏昌 Hiromasa Yonebayashi,244396,8.7
121,神偷奶爸,2010,美国 法国,喜剧 动画 冒险, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,433715,8.5
122,岁月神偷,2010,香港 中国大陆,剧情 家庭, 罗启锐 Alex Law,335986,8.6
123,七武士,1954,日本,动作 冒险 剧情, 黑泽明 Akira Kurosawa,87172,9.2
124,杀人回忆,2003,韩国,犯罪 剧情 悬疑 惊悚, 奉俊昊 Joon-ho Bong,233766,8.7
125,贫民窟的百万富翁,2008,英国 美国,剧情 爱情, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,429725,8.5
126,喜宴,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭, 李安 Ang Lee,157520,8.8
127,电锯惊魂,2004,美国,悬疑 惊悚 恐怖, 詹姆斯·温 James Wan,220396,8.7
128,怪兽电力公司,2001,美国,儿童 喜剧 动画 奇幻 冒险, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,275729,8.6
129,谍影重重3,2007,美国 德国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass,200881,8.7
130,真爱至上,2003,英国 美国 法国,喜剧 剧情 爱情, 理查德·柯蒂斯 Richard Curtis,345557,8.5
131,东邪西毒,1994,香港 台湾,剧情 动作 爱情 武侠 古装, 王家卫 Kar Wai Wong,282700,8.6
132,记忆碎片,2000,美国,犯罪 剧情 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan,309444,8.5
133,海洋,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,105236,9.0
134,黑天鹅,2010,美国,剧情 惊悚, 达伦·阿罗诺夫斯基 Darren Aronofsky,460255,8.5
135,雨人,1988,美国,剧情, 巴瑞·莱文森 Barry Levinson,227807,8.6
136,疯狂原始人,2013,美国,喜剧 动画 冒险, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,411661,8.7
137,卢旺达饭店,2004,英国 南非 意大利 美国,剧情 历史 战争, 特瑞·乔治 Terry George,134677,8.9
138,小森林 冬春篇,2015,日本,剧情, 森淳一 Junichi Mori,137867,8.9
139,英雄本色,1986,香港,动作 犯罪, 吴宇森 John Woo,194508,8.6
