0,名称,年份,国家,类型,导演,评价人数,评分
43,闻香识女人,1992,美国,剧情, 马丁·布莱斯 Martin Brest,381613,8.9
44,哈尔的移动城堡,2004,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,420606,8.9
45,辩护人,2013,韩国,剧情, 杨宇硕 Woo-seok Yang,259606,9.2
46,摔跤吧！爸爸,2016,印度,剧情 传记 运动 家庭, 涅提·蒂瓦里 Nitesh Tiwari,575653,9.1
47,V字仇杀队,2005,美国 英国 德国,剧情 动作 科幻 惊悚, 詹姆斯·麦克特格 James McTeigue,494653,8.8
48,海豚湾,2009,美国,纪录片, Louie Psihoyos,205880,9.3
49,死亡诗社,1989,美国,剧情, 彼得·威尔 Peter Weir,328548,9.0
50,教父2,1974,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola,221401,9.1
51,指环王2：双塔奇兵,2002,美国 新西兰,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson,313290,9.0
52,美丽心灵,2001,美国,传记 剧情, 朗·霍华德 Ron Howard,351989,8.9
53,指环王1：魔戒再现,2001,新西兰 美国,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson,350825,8.9
54,饮食男女,1994,台湾 美国,剧情 家庭, 李安 Ang Lee,239886,9.1
55,情书,1995,日本,剧情 爱情, 岩井俊二 Shunji Iwai,432158,8.8
